nrCpfCnpj,vlPresta,vlMora,qtPrestacoes,vlMovimento,vlPag,vlTotal,dtPag,dtContrato,dtVctPre
20.184.493/0001-74,1265.43,285.93,10,4014.61,3634.66,1551.36,20240113,20221111,20230225
95.438.273/0001-29,1839.66,370.29,7,5612.33,1728.64,2209.95,20240102,20200307,20200415
816.019.102-23,3986.02,304.13,9,6980.43,1353.31,4290.15,20240112,20211202,20220811
81.590.904/0001-16,4323.37,37.4,7,1902.14,3839.8,4360.77,20240108,20200608,20210509
863.071.055-18,3892.75,104.4,11,5401.95,1905.64,3997.15,20240107,20220525,20230711
17.299.204/0001-78,2236.45,253.03,8,2498.61,4249.49,2489.48,20240113,20220819,20221105
383.763.285-73,1386.75,42.45,9,3295.9,1127.92,1429.2,20240104,20210221,20211225
85.413.662/0001-46,2378.66,476.81,3,8012.43,1105.23,2855.47,20240111,20200814,20210430
14.659.721/0001-12,1867.3,285.19,10,7879.67,4547.57,2152.49,20240106,20240105,20240109
51.326.918/0001-66,2758.44,494.41,7,9754.13,3060.44,3252.85,20240107,20220808,20230516
778.554.859-53,2613.61,300.68,12,5400.26,1899.42,2914.29,20240103,20210709,20220708
981.612.664-84,4694.52,157.01,10,6379.53,4162.59,4851.53,20240101,20200122,20200425
618.508.460-06,3341.67,269.14,8,3850.14,2542.29,3610.81,20240103,20220116,20230623
432.889.765-95,3329.23,332.12,6,2903.54,4116.64,3661.35,20240113,20240103,20240110
90.730.906/0001-54,1491.83,330.8,10,8517.78,4041.32,1822.63,20240109,20230112,20231116
613.047.818-60,3327.09,229.58,10,6511.84,887.49,3556.67,20240103,20220420,20220706
11.233.357/0001-36,1100.99,434.67,5,8297.92,4350.33,1535.66,20240101,20220121,20220528
855.238.985-11,4715.92,19.18,9,7391.33,3887.91,4735.1,20240106,20210104,20220630
421.264.994-21,1838.28,305.65,1,8969.45,1613.65,2143.93,20240104,20221217,20221221
17.998.498/0001-26,3546.32,249.31,2,6046.98,2576.61,3795.63,20240104,20211118,20230917
485.529.440-30,3905.23,182.73,6,4032.33,4064.26,4087.96,20240101,20210814,20230223
124.414.920-98,4261.21,66.64,12,2236.5,1392.12,4327.85,20240105,20211120,20220305
29.032.480/0001-54,1079.69,168.64,6,2080.53,4725.66,1248.33,20240105,20220419,20221225
781.362.092-51,2877.3,371.31,5,7632.17,4730.72,3248.61,20240108,20230418,20230723
60.148.394/0001-51,1692.85,148.27,9,7481.08,1696.74,1841.12,20240110,20230908,20230913
34.965.415/0001-11,1603.7,158.6,11,6306.87,1483.56,1762.3,20240109,20201208,20211020
96.113.903/0001-58,1209.7,317.36,3,9686.25,2261.79,1527.06,20240109,20200716,20221130
42.045.800/0001-79,1191.36,235.14,11,3317.92,1572.44,1426.5,20240105,20221007,20221102
613.323.001-03,4181.8,285.18,11,5651.61,657.72,4466.98,20240115,20210504,20220802
895.632.243-02,4987.91,104.04,10,6907.0,4276.92,5091.95,20240105,20210208,20230113
940.904.223-29,2688.27,213.76,4,3370.07,4249.58,2902.03,20240104,20210512,20230613
987.480.306-19,2423.62,449.57,11,7887.8,3472.94,2873.19,20240114,20220816,20231016
33.353.574/0001-00,2330.6,76.27,4,7826.57,2198.93,2406.87,20240110,20210105,20230715
994.683.394-83,2143.76,428.81,7,2452.37,1581.7,2572.57,20240114,20220906,20220910
25.830.315/0001-97,1122.3,462.5,6,4526.68,606.98,1584.8,20240101,20210727,20230408
733.839.081-94,3015.47,283.06,8,9759.76,3219.9,3298.53,20240115,20210612,20231105
045.836.627-77,4480.44,107.28,8,3999.24,2245.59,4587.72,20240113,20220114,20230505
314.416.449-62,3851.49,45.2,4,3649.17,4820.74,3896.69,20240103,20220112,20230424
75.087.950/0001-02,2488.27,441.43,8,1564.36,3310.13,2929.7,20240115,20200314,20200909
742.358.723-03,2968.25,364.46,1,2677.6,3013.66,3332.71,20240111,20211215,20230620
53.862.015/0001-25,3061.65,133.67,3,1620.75,2827.12,3195.32,20240111,20200918,20231208
382.194.621-08,3346.09,152.21,7,1236.3,3306.31,3498.3,20240103,20200512,20210411
08.700.290/0001-98,2664.98,42.89,6,6908.97,3426.91,2707.87,20240110,20210110,20230315
28.002.042/0001-80,1804.04,415.86,1,1899.19,3993.85,2219.9,20240110,20231122,20231221
65.530.700/0001-33,1858.59,208.13,3,7460.41,2532.27,2066.72,20240115,20211006,20230303
31.423.479/0001-00,4180.02,310.6,11,8748.4,4201.2,4490.62,20240104,20221126,20230402
35.401.498/0001-89,1780.71,241.21,7,2048.73,1025.67,2021.92,20240106,20200122,20221125
359.402.627-24,2162.83,486.87,2,2659.85,1567.77,2649.7,20240113,20220222,20231112
95.409.461/0001-29,4273.58,338.2,12,4174.94,3729.36,4611.78,20240110,20230913,20231111
157.991.608-27,2686.52,5.59,1,7573.69,3397.58,2692.11,20240112,20200904,20221211
31.582.365/0001-03,3935.96,119.16,9,7516.55,3973.47,4055.12,20240102,20200603,20220321
00.287.263/0001-23,1759.38,111.3,2,1444.05,566.3,1870.68,20240113,20210604,20220618
16.265.991/0001-74,4135.61,176.37,7,8896.22,2705.67,4311.98,20240104,20220122,20220424
16.154.357/0001-64,4680.9,423.84,8,8434.84,4079.52,5104.74,20240102,20210514,20220423
80.627.171/0001-84,3077.95,403.23,7,2280.56,1118.95,3481.18,20240113,20230425,20240109
88.974.043/0001-19,4390.91,399.21,5,7494.59,4240.23,4790.12,20240106,20230318,20231027
76.670.146/0001-06,4673.39,106.98,2,6213.3,891.26,4780.37,20240102,20211016,20220530
54.412.525/0001-63,2934.82,84.42,2,7600.39,2578.95,3019.24,20240101,20220221,20230914
924.428.776-51,2786.67,139.19,2,3803.97,2855.17,2925.86,20240104,20230104,20230824
21.853.487/0001-25,1686.72,49.63,3,5067.72,2601.85,1736.35,20240110,20221201,20230328
349.946.200-16,2905.4,135.01,12,4756.6,3887.87,3040.41,20240105,20220930,20231118
091.257.276-05,2087.05,417.13,11,8526.14,4663.19,2504.18,20240115,20210112,20220513
64.176.887/0001-56,1194.8,313.55,9,2807.35,2887.28,1508.35,20240112,20210708,20230508
950.653.619-83,4749.74,121.81,10,4063.2,3993.82,4871.55,20240107,20230629,20230818
603.117.128-78,2410.94,198.92,8,3235.78,4790.3,2609.86,20240111,20200301,20240114
111.547.262-31,4500.51,206.6,9,8819.72,3298.02,4707.11,20240113,20220215,20220922
250.196.463-26,1210.02,279.25,2,5479.76,2741.67,1489.27,20240102,20230907,20230908
23.937.154/0001-00,3024.53,35.71,9,6795.97,2098.97,3060.24,20240111,20230120,20230701
962.692.163-38,3311.73,154.3,3,8057.65,2781.46,3466.03,20240111,20220407,20220505
059.472.351-53,3556.77,334.3,9,3458.02,516.08,3891.07,20240110,20210429,20220820
87.654.813/0001-83,2835.93,354.61,9,3117.2,3908.59,3190.54,20240106,20210217,20220811
15.827.732/0001-27,1228.15,390.1,8,6211.94,1762.82,1618.25,20240107,20220815,20221103
759.331.844-38,4593.6,379.21,7,9078.34,874.42,4972.81,20240107,20210711,20210907
661.992.147-73,1615.31,338.52,5,6041.86,4490.37,1953.83,20240107,20200307,20210815
00.799.926/0001-99,2309.21,232.31,3,5164.32,3546.22,2541.52,20240102,20221216,20230724
09.459.983/0001-01,2633.09,87.19,3,6351.16,2825.73,2720.28,20240114,20201202,20220706
925.529.100-92,4399.41,236.55,4,1926.74,4641.73,4635.96,20240106,20220722,20230516
69.808.976/0001-91,3748.08,90.63,7,3658.22,4358.06,3838.71,20240109,20221016,20230330
879.089.534-76,1820.49,25.79,9,6015.91,1243.18,1846.28,20240111,20200210,20210209
59.511.260/0001-74,3780.29,306.7,4,1017.73,1611.1,4086.99,20240103,20210729,20220424
571.425.553-43,4544.72,219.44,11,6514.34,3951.96,4764.16,20240111,20210419,20211213
72.365.057/0001-03,1001.69,69.83,7,7862.58,2349.39,1071.52,20240106,20201124,20211221
47.722.688/0001-87,2133.1,11.62,11,5525.16,2428.08,2144.72,20240110,20230903,20231008
43.132.306/0001-04,3309.69,204.22,2,6236.4,2517.85,3513.91,20240106,20211003,20220624
617.119.964-83,4578.8,48.16,10,7653.01,3203.63,4626.96,20240108,20211122,20220522
96.776.893/0001-30,3777.82,268.54,2,9587.17,2393.64,4046.36,20240103,20231121,20231210
909.316.285-39,2575.1,477.42,10,9265.22,4195.76,3052.52,20240108,20220414,20230923
72.654.704/0001-99,3610.54,244.76,4,9342.05,1966.98,3855.3,20240107,20200319,20231115
11.316.582/0001-36,2616.61,124.13,1,3675.64,3714.91,2740.74,20240104,20230610,20231106
478.563.643-27,3442.73,87.66,4,8996.16,1636.13,3530.39,20240102,20211110,20230222
429.790.952-90,2029.22,198.75,10,4064.44,3572.82,2227.97,20240110,20210216,20211124
80.481.419/0001-41,2396.99,30.76,10,3925.26,4234.9,2427.75,20240104,20200519,20220917
630.894.913-20,1266.34,196.59,11,5121.73,3100.58,1462.93,20240106,20230420,20231220
05.490.230/0001-08,2870.77,282.49,4,4215.26,2932.36,3153.26,20240102,20201031,20230121
631.342.271-69,1115.45,188.59,8,6712.61,4330.79,1304.04,20240111,20220710,20220902
